cat,subsect_ID,valley,area_kmsq,lithic_density,total_lithics,total_retouched,retouch_freq,flakes,blades,bladelets,flake_cores,blade_cores,chunks,core_rejuv,flake_tech,blade_tech,ret_flakes,geometrics,microburins,bldt_utilized,bldt_ret,bkd_pieces,bkd_pts,drills,proj_pts,total_backed,dent_sickl,MPaleo_types,UPaleo_types,Neol1_types,Neol2_types,Neol_types,settlmnt_wt,MPaleo_TI,MPaleo_SII,MPaleo_SII_ntile,UPaleo_TI,UPaleo_SII,UPaleo_SII_ntile,LUPaleo_TI,LUPaleo_SII,LUPaleo_SII_ntl,Neol1_TI,Neol1_SII,Neol1_SII_ntl,Neol2_TI,Neol2_SII,Neol2_SII_ntl,elev_min,elev_max,elev_range,elev_mean,elev_stddev,elev_variance,elev_cf_var,distcoast,distcoast_30ka,distcoast_18ka,distcoast_13ka,val_elev
80,A2-13-4,Alcala,0.003385,2954.20974889217,10,0,0,10,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.3,0.27,75,0.1,0.09,50,0.1,0.09,50,0.1,0.09,50,0.1,0.09,50,629,641,12,631,3.19089614086986,10.1818181818182,0.505688770343877,19626.838368,30359.030284,30829.025558,29899.243772,"""642m Alacala"""
83,A1-17-2d,Alcala,0.005463,549.148819330038,3,0,0,3,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.3,0.15,49,0.1,0.05,49,0.1,0.05,49,0.1,0.05,50,0.1,0.05,49,623,638,15,632.222222222222,5.13039839138229,26.320987654298,0.811486564542014,22249.384667,30706.137087,31221.436959,30199.469406,"""642m Alacala"""
84,A1-17-2c,Alcala,0.00335,298.507462686567,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.3,0.075,49,0.1,0.025,49,0.1,0.025,49,0.1,0.025,50,0.1,0.025,49,622,638,16,625.060606060606,4.88001113970071,23.8145087236031,0.780726075581149,22260.992174,30684.22209,31199.740678,30177.334604,"""642m Alacala"""
85,A1-17-2b,Alcala,0.003689,4337.21875847113,16,2,0.13,14,0,0,0,0,8,0,15,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.3,0.3,90,0.1,0.1,50,0.1,0.1,50,0.7,0.7,90,0.7,0.7,90,622,624,2,623.243243243243,0.912537460318901,0.83272461648527,0.146417545671289,22278.470472,30672.253002,31188.07554,30165.054735,"""642m Alacala"""
86,A1-17-2a,Alcala,0.003979,1759.23598894195,7,2,0.29,4,0,1,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9,0.3,0.27,75,0.3,0.27,75,0.3,0.27,75,0.7,0.63,90,0.7,0.63,75,622,624,2,623.459459459459,0.85722981229207,0.734842951082297,0.137495678233079,22297.091357,30657.602784,31173.751346,30150.071671,"""642m Alacala"""
85,A1-17-2b,Alcala,0.003689,4337.21875847113,16,2,0.13,14,0,0,0,0,8,0,15,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.3,0.3,90,0.1,0.1,50,0.1,0.1,50,0.7,0.7,90,0.7,0.7,90,622,624,2,623.243243243243,0.912537460318901,0.83272461648527,0.146417545671289,22278.470472,30672.253002,31188.07554,30165.054735,"""642m Alacala"""
225,VRN-1,Gorgos,0.073677,122.154810863635,9,1,0.11,8,0,0,0,1,1,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.3,0.225,50,0.7,0.525,75,0.5,0.375,75,0.3,0.225,25,0.3,0.225,25,284,347,63,298.96875,13.0659011720394,170.7177734375,4.37032337728922,14365.993047,19318.237115,19546.735086,18676.048874,"""246m Gorgos"""
101,PLL-1,Gorgos,0.110377,9.05985848501046,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0.03,10,0.1,0.01,10,0.1,0.01,10,0.1,0.01,1,0.1,0.01,1,169,182,13,174.245487364621,3.16587562054931,10.0227684447885,1.81690537208834,11322.878814,13394.115837,13869.134486,13394.115837,"""246m Gorgos"""
102,PLL-2,Gorgos,0.035992,27.783951989331,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.1,0.025,1,0.7,0.175,50,0.5,0.125,50,0.3,0.075,10,0.3,0.075,10,169,181,12,172.983286908078,2.38489894055977,5.68774295668312,1.37868749240907,11266.286986,13333.277428,13809.738627,13333.277428,"""246m Gorgos"""
102,PLL-2,Gorgos,0.035992,27.783951989331,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.1,0.025,1,0.7,0.175,50,0.5,0.125,50,0.3,0.075,10,0.3,0.075,10,169,181,12,172.983286908078,2.38489894055977,5.68774295668312,1.37868749240907,11266.286986,13333.277428,13809.738627,13333.277428,"""246m Gorgos"""
101,PLL-1,Gorgos,0.110377,9.05985848501046,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0.03,10,0.1,0.01,10,0.1,0.01,10,0.1,0.01,1,0.1,0.01,1,169,182,13,174.245487364621,3.16587562054931,10.0227684447885,1.81690537208834,11322.878814,13394.115837,13869.134486,13394.115837,"""246m Gorgos"""
104,PLL-4,Gorgos,0.066738,14.983967155144,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.01,1,0.9,0.09,50,0.5,0.05,25,0.3,0.03,10,0.3,0.03,10,174,185,11,179.96251874063,2.68876918178482,7.22947971291583,1.49407176594366,11424.571967,13446.633291,13938.84213,13446.633291,"""246m Gorgos"""
102,PLL-2,Gorgos,0.035992,27.783951989331,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.1,0.025,1,0.7,0.175,50,0.5,0.125,50,0.3,0.075,10,0.3,0.075,10,169,181,12,172.983286908078,2.38489894055977,5.68774295668312,1.37868749240907,11266.286986,13333.277428,13809.738627,13333.277428,"""246m Gorgos"""
