SSECTOR,NR,HCT,IDL
XIV-11-10,5,4,
XLVI-8-7,4,,
XI-3-10,4,5,
XLVI-8-4,4,4,
XLVI-8-13,4,4,
XLVI-8-15,4,4,
XI-9-5,3,,
XIII-21-13,3,,
XIII-22-8,3,,
XLVI-6-1,3,,
XLVI-8-11,3,,
XLVI-8-14,3,,
XLVI-8-17,3,,
XLVI-8-6,3,,
XLVI-8-10,3,,
XLVI-8-16,3,,
