bag_number,date,region,stratum,sector,subsector,site,abraded,edge_damage,technological_class,completeness,size_class,cortex,platform_type,blade_section,retouched_tool_type,retouch_mode,sheen,count,length,width,thickness,total,notes
387,12/31/1988,Serpis,XI,,,AC-66,1,2,3,2,3,1,1,,,,,1,0,0,0,2760,
387,12/31/1988,Serpis,XI,,,AC-66,1,2,3,1,2,1,2,,,,,1,0,0,0,2760,
387,12/31/1988,Serpis,XI,,,AC-66,1,2,3,2,2,1,1,,,,,1,0,0,0,2760,
387,12/31/1988,Serpis,XI,,,AC-66,1,2,3,2,2,1,2,,,,,1,0,0,0,2760,
387,12/31/1988,Serpis,XI,,,AC-66,1,2,3,1,2,2,2,,,,,1,0,0,0,2760,
387,12/31/1988,Serpis,XI,,,AC-66,1,2,3,2,2,1,2,,,,,1,0,0,0,2760,
387,12/31/1988,Serpis,XI,,,AC-66,1,2,3,2,2,1,2,,,,,1,0,0,0,2760,
387,12/31/1988,Serpis,XI,,,AC-66,1,2,3,1,2,1,2,,,,,1,0,0,0,2760,
387,12/31/1988,Serpis,XI,,,AC-66,1,2,3,1,2,2,2,,,,,1,0,0,0,2760,
387,12/31/1988,Serpis,XI,,,AC-66,1,2,3,1,1,3,2,,,,,1,0,0,0,2760,
387,12/31/1988,Serpis,XI,,,AC-66,1,2,3,2,1,2,2,,,,,1,0,0,0,2760,
387,12/31/1988,Serpis,XI,,,AC-66,1,2,3,1,1,2,2,,,,,1,0,0,0,2760,
387,12/31/1988,Serpis,XI,,,AC-66,2,,3,1,1,1,2,,,,,1,0,0,0,2760,
387,12/31/1988,Serpis,XI,,,AC-66,1,2,3,2,1,1,1,,,,,1,0,0,0,2760,
387,12/31/1988,Serpis,XI,,,AC-66,1,2,3,2,1,1,2,,,,,1,0,0,0,2760,
387,12/31/1988,Serpis,XI,,,AC-66,1,1,3,2,1,1,3,,,,,1,0,0,0,2760,
387,12/31/1988,Serpis,XI,,,AC-66,1,2,3,1,1,1,2,,,,,1,0,0,0,2760,
