subsector,density_km2
ARN-18,2458
CT-11,1831
CT-13,9275
CT-5,2581
GRR-1,4518
GRR-2,2711
GRR-3,3002
GRR-6,3933
MSQ-19,2770
MSQ-2,12823
MSQ-8,2535
PLL-1,3629
PLL-3,17152
PLN-2,6138
PLN-4,8445
RIU-5,3566
RMP-15,1835
RMP-2,1772
RMP-8,1732
RPL-1,1039
RPL-2,5175
SLN-1,48076
VRN-1,1359
VRN-2,19203
VRN-4,4541
