sector,subsector,elevation,visibility_code,lithics,ceramics_handmade,ceramics_wheelmade,other_artifacts,structures,site_number
4,bp-4-23,,4,no,si,si,no,"habian tumbas romanas, excavadas por Visedo",AC-85 Mas Blanch
4,bp-4-24,,4,no,si,si,"si, una moneda","habian tumbas romanas, excavadas por Visedo",AC-85 Mas Blanch
4,bp-4-25,,4,no,si,si,no,"habian tumbas romanas, excavadas por Visedo",AC-85 Mas Blanch
4,bp-4-26,,4,no,si,si,no,"habian tumbas romanas, excavadas por Visedo",AC-85 Mas Blanch
4,bp-4-27,,4,no,si,si,no,"habian tumbas romanas, excavadas por Visedo",AC-85 Mas Blanch
4,bp-4-28,,4,si,si,no,no,no,AC-85
4,bp-4-29,,4,si,si,no,no,no,AC-85
4,bp-4-3,,2,no,no,no,no,no,AC-44
4,bp-4-30,,3,si,si,no,no,no,AC-85
4,bp-4-31,,4,si,si?,?,no,no,AC-85
4,bp-4-32,,4,si,no,no,no,no,AC-85
4,bp-4-4,,2,no,no,no,no,no,AC-44
4,bp-4-5,,2,no,no,no,no,no,AC-44
4,bp-4-6,,2,no,no,no,no,no,AC-44
4,bp-4-7,,2,si,si,no,no,no,AC-44
4,bp-4-8,,3,si,si,no,no,no,AC-44
4,bp-4-9,,3,si,si,no,no,no,AC-44
6,bp-6-1,,5,si,si,no,si P.P,no,AC-88
6,bp-6-10,,4,si,si,si,no,no,AC-88
6,bp-6-11,,4,si,si,si,no,no,
6,bp-6-2,,5,si,si,si,si P.P.,no,AC-88
6,bp-6-3,,5,si,si,si,no,no,AC-88
6,bp-6-4,,5,si,si,si,no,no,AC-88
6,bp-6-5,,5,si,si,si,no,no,AC-88
6,bp-6-6,,4,si,si,no,si P.P.,no,AC-88
6,bp-6-7,,4,si,si,si,si. molins,no,AC-88
6,bp-6-8,,4,si,si,no,no,no,AC-88
6,bp-6-9,,4,si,no,si,no,no,AC-88
8,bp-8-1,,4,si,no,si,no,no,AC-89
8,bp-8-10,,4,no,si,si,no,no,AC-89
8,bp-8-11,,4,no,si,si,no,no,AC-89
8,bp-8-13,,4,si,si,si,no,no,AC-89
8,bp-8-14,,4,no,si,si,no,no,AC-89
8,bp-8-15,,4,no,no,no,no,no,AC-89
8,bp-8-16,,4,no,si,si,no,no,AC-89
8,bp-8-19,,4,si,no,si,no,no,AC-89
8,bp-8-2,,4,no,no,si,no,no,AC-89
8,bp-8-20,,4,no,si,no,no,no,AC-89
8,bp-8-22,,4,si,si,no,no,no,AC-89
8,bp-8-3,,4,no,no,si,no,no,AC-89
8,bp-8-4,,4,si,si,no,no,no,AC-89
8,bp-8-5,,4,si,si,si,no,no,AC-89
8,bp-8-6,,4,no,si,si,no,no,AC-89
8,bp-8-7,,4,si,si,si,no,no,AC-89
8,bp-8-8,,4,si,si,si,no,no,AC-89
8,bp-8-9,,4,si,si,no,no,no,AC-89
9,bp-9-1,,4,si,si,no,no,no,AC-39
9,bp-9-2,,4,si,no,si,no,no,AC-39
9,bp-9-3,,4,si,no,si,no,no,AC-39
9,bp-9-4,,4,si,no,si,no,no,AC-39
9,bp-9-5,,4,si,no,si,no,no,AC-39
9,bp-9-6,,4,no,no,si,no,no,AC-39
9,bp-9-7,,4,no,no,si,no,no,AC-39
9,bp-9-8,,2,no,no,no,no,no,AC-39
