SUBSECTOR,AREA,HMP,CARD,IMPIN,ESGR,PEINA,LABS,NEOL_1,NEOL_2
BP-3-28,0.006,23,0,0,0,0,0,0,0
BP-3-43,0.008,0,0,0,0,0,0,0,0
BP-3-29,0.007,170,0,3,0,1,1,3,2
BP-3-33,0.014,35,0,0,0,1,1,0,2
BP-3-32,0.01,0,0,0,0,0,0,0,0
BP-3-30,0.004,230,0,0,0,1,1,0,2
BP-3-31,0.007,0,0,0,0,0,0,0,0
BP-3-34,0.009,0,0,0,0,0,0,0,0
BP-3-35,0.011,0,0,0,0,0,0,0,0
BP-3-36,0.008,0,0,0,0,0,0,0,0
BP-3-37,0.005,0,0,0,0,0,0,0,0
BP-3-38,0.007,0,0,0,0,0,0,0,0
BP-3-39,0.005,0,0,0,0,0,0,0,0
BP-3-40,0.004,0,0,0,0,0,0,0,0
BP-3-41,0.003,0,0,0,0,0,0,0,0
BP-10-1,0.003,0,0,0,0,0,0,0,0
BP-10-2,0.004,0,0,0,0,0,0,0,0
BP-10-3,0.004,0,0,0,0,0,0,0,0
BP-10-4,0.008,0,0,0,0,0,0,0,0
BP-10-5,0.012,0,0,0,0,0,0,0,0
BP-10-6,0.007,0,0,0,0,0,0,0,0
BP-10-7,0.009,0,0,0,0,0,0,0,0
BP-10-8,0.008,0,0,0,0,0,0,0,0
BP-10-9,0.007,0,0,0,0,0,0,0,0
BP-10-10,0.012,0,0,0,0,0,0,0,0
BP-11-1,0.003,0,0,0,0,0,0,0,0
BP-11-2,0.001,0,0,0,0,0,0,0,0
BP-11-3,0.001,0,0,0,0,0,0,0,0
BP-11-4,0.002,0,0,0,0,0,0,0,0
BP-11-5,0.005,0,0,0,0,0,0,0,0
BP-11-6,0.006,0,0,0,0,0,0,0,0
BP-11-7,0.02,0,0,0,0,0,0,0,0
BP-11-8,0.012,14,0,1,0,0,0,1,0
BP-11-9,0.008,3,0,0,0,0,0,0,0
BP-11-10,0.004,0,0,0,0,0,0,0,0
BP-11-11,0.005,0,0,0,0,0,0,0,0
BP-11-12,0.003,0,0,0,0,0,0,0,0
BP-11-13,0.007,0,0,0,0,0,0,0,0
BP-11-14,0.004,0,0,0,0,0,0,0,0
BP-9-1,0.007,0,0,0,0,0,0,0,0
BP-9-2,0.021,0,0,0,0,0,0,0,0
BP-9-3,0.008,0,0,0,0,0,0,0,0
BP-9-4,0.009,0,0,0,0,0,0,0,0
BP-9-5,0.008,0,0,0,0,0,0,0,0
BP-9-6,0.007,0,0,0,0,0,0,0,0
BP-9-7,0.01,0,0,0,0,0,0,0,0
BP-9-8,0.009,0,0,0,0,0,0,0,0
BP-9-9,0.026,0,0,0,0,0,0,0,0
BP-9-10,0.013,0,0,0,0,0,0,0,0
BP-2-40,0.006,0,0,0,0,0,0,0,0
BP-2-41,0.008,0,0,0,0,0,0,0,0
BP-2-42,0.001,0,0,0,0,0,0,0,0
BP-2-43,0.003,0,0,0,0,0,0,0,0
BP-2-44,0.005,0,0,0,0,0,0,0,0
BP-3-9,0.01,0,0,0,0,0,0,0,0
BP-4-27,0.026,7,0,0,0,0,1,0,1
BP-12-1,0.003,0,0,0,0,0,0,0,0
BP-12-2,0.002,0,0,0,0,0,0,0,0
BP-12-3,0.002,0,0,0,0,0,0,0,0
BP-12-4,0.001,0,0,0,0,0,0,0,0
BP-12-5,0.003,0,0,0,0,0,0,0,0
BP-12-6,0.001,0,0,0,0,0,0,0,0
BP-12-7,0.004,0,0,0,0,0,0,0,0
BP-12-8,0.003,0,0,0,0,0,0,0,0
BP-12-9,0.003,0,0,0,0,0,0,0,0
BP-12-10,0.004,0,0,0,0,0,0,0,0
BP-12-11,0.003,0,0,0,0,0,0,0,0
BP-12-12,0.004,0,0,0,0,0,0,0,0
BP-12-13,0.004,0,0,0,0,0,0,0,0
BP-2-16,0.022,0,0,0,0,0,0,0,0
BP-4-11/12,0.009,3,0,0,0,0,0,0,0
BP-2-8/9,0.041,0,0,0,0,0,0,0,0
BP-3-1/2,0.005,91,0,0,0,0,3,0,3
BP-3-3/4,0.006,25,0,0,0,1,3,0,4
BP-3-5/7,0.025,0,0,0,0,0,0,0,0
BP-3-15/16,0.017,0,0,0,0,0,0,0,0
BP-4-13/14,0.019,13,0,0,0,0,0,0,0
BP-4-1/2,0.017,158,0,1,0,1,3,1,4
BP-4-25/26,0.014,2,0,0,0,0,0,0,0
BP-4-21/22,0.013,10,0,0,0,0,0,0,0
