SUBSECTOR,SECTOR,NOM,AREA,LEVALL,MUST,MYD,RSP,BRL,M1,TRC,DORSO,G1,G2,TLDRO,PFLECHA,PRC,HRET,HINV,ABRUPT,RETOC,HMP,CARD,IMPIN,ESGR,PEINA,LABS,SILEX2
1,4,BP-4-5,0.007,0,0,1,1,0,0,1,0,0,2,0,0,3,2,0,4,28,291,3,4,1,1,3,251
1,4,BP-4-6,0.006,0,0,1,0,0,0,2,0,1,2,0,0,4,3,0,2,11,151,1,0,7,2,2,121
1,4,BP-4-7,0.021,0,0,0,0,0,0,1,0,1,0,0,0,4,1,0,3,12,149,0,2,1,2,1,92
1,4,BP-4-8,0.018,0,0,2,0,0,0,1,0,0,1,0,0,6,0,0,1,10,68,0,0,3,1,3,73
1,4,BP-4-9,0.027,0,0,1,0,0,0,1,0,0,0,0,0,12,1,0,1,7,34,0,0,0,0,0,38
1,2,BP-2-1,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,7
1,2,BP-2-2,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,2,BP-2-3,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1,2,BP-2-6,0.006,0,0,1,0,0,0,0,0,0,0,0,0,30,10,0,3,12,0,0,0,0,0,0,45
1,2,BP-2-4,0.007,0,0,10,0,0,0,9,0,0,0,0,3,2,2,1,15,64,109,0,3,0,2,0,516
1,2,BP-2-7,0.019,0,0,9,2,0,0,3,0,3,1,0,0,5,1,0,4,63,22,0,2,0,5,2,384
1,2,BP-2-5,0.009,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,4,16,0,0,0,0,0,38
1,2,BP-2-10,0.019,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,35
1,2,BP-2-11,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6
1,2,BP-2-12,0.023,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,27
1,2,BP-2-13,0.026,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,4,0,0,0,0,0,0,30
1,2,BP-2-14,0.02,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,5
1,2,BP-2-15,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6
1,2,BP-2-17,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,23
1,2,BP-2-18,0.022,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,7,1,0,0,0,0,0,109
1,2,BP-2-19,0.018,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,11,0,0,0,0,0,44
1,2,BP-2-20,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,BP-2-21,0.013,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,29
1,2,BP-2-22,0.012,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,2,3,0,0,0,0,0,19
2,1,BP-1-1,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
2,1,BP-1-3,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
